YCC_Haplogroup,Count,Frequency,Percentage
E1b1a1a1c1a1,16,0.3076923076923077,30.76923076923077
E1b1a1a1d1a,10,0.19230769230769232,19.230769230769234
E1b1a1a1d1,8,0.15384615384615385,15.384615384615385
E1b1a1a1c1a1c,6,0.11538461538461539,11.538461538461538
E1b1a1a1d1a2,3,0.057692307692307696,5.769230769230769
E1b1a1a1c1a1d,2,0.038461538461538464,3.8461538461538463
E1a2a1b1,2,0.038461538461538464,3.8461538461538463
E1a2a1a1,1,0.019230769230769232,1.9230769230769231
E1b1a1a1c1a,1,0.019230769230769232,1.9230769230769231
E1a2a1a1a,1,0.019230769230769232,1.9230769230769231
E1b1a1a1c1b,1,0.019230769230769232,1.9230769230769231
E2b2,1,0.019230769230769232,1.9230769230769231
